Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00906,Sprigatito,1.png,Grass,Overgrow Protean,40,61,54,45,45,65
#00907,Floragato,2.png,Grass,Overgrow Protean,61,80,63,60,63,83
#00908,Meowscarada,3.png,"Grass, Dark",Overgrow Protean,76,110,70,81,70,123
#00909,Fuecoco,4.png,Fire,Blaze Unaware,67,45,59,63,40,36
#00910,Crocalor,5.png,Fire,Blaze Unaware,81,55,78,90,58,49
#00911,Skeledirge,6.png,"Fire, Ghost",Blaze Unaware,104,75,100,110,75,66
#00912,Quaxly,7.png,Water,Torrent Moxie,55,65,45,50,45,50
#00913,Quaxwell,8.png,Water,Torrent Moxie,70,85,65,65,60,65
#00914,Quaquaval,9.png,"Water, Fighting",Torrent Moxie,85,120,80,85,75,85
#00915,Lechonk,10.png,Normal,Aroma Veil Gluttony Thick Fat,54,45,40,35,45,35
#00916,Oinkologne,11.png,Normal,Lingering Aroma Gluttony Thick Fat,110,100,75,59,80,65
#00917,Tarountula,12.png,Bug,Insomnia Stakeout,35,41,45,29,40,20
#00918,Spidops,13.png,Bug,Insomnia Stakeout,60,79,92,52,86,35
#00919,Nymble,14.png,Bug,Swarm Tinted Lens,33,46,40,21,25,45
#00920,Lokix,15.png,"Bug, Dark",Swarm Tinted Lens,71,102,78,52,55,92
#00921,Pawmi,16.png,Electric,Static Natural Cure Iron Fist,45,50,20,40,25,60
#00922,Pawmo,17.png,"Electric, Fighting",Volt Absorb Natural Cure Iron Fist,60,75,40,50,40,85
#00923,Pawmot,18.png,"Electric, Fighting",Volt Absorb Natural Cure Iron Fist,70,115,70,70,60,105
#00924,Tandemaus,19.png,Normal,Run Away Pickup Own Tempo,50,50,45,40,45,75
#00925,Maushold,20.png,Normal,Friend Guard Cheek Pouch Technician,74,75,70,65,75,111
#00926,Fidough,21.png,Fairy,Own Tempo Klutz,37,55,70,30,55,65
#00927,Dachsbun,22.png,Fairy,Well-Baked Body Aroma Veil,57,80,115,50,80,95
#00928,Smoliv,23.png,"Grass, Normal",Early Bird Harvest,41,35,45,58,51,30
#00929,Dolliv,24.png,"Grass, Normal",Early Bird Harvest,52,53,60,78,78,33
#00930,Arboliva,25.png,"Grass, Normal",Seed Sower Harvest,78,69,90,125,109,39
#00931,Squawkabilly,26.png,"Normal, Flying",Intimidate Hustle Guts,82,96,51,45,51,92
#00932,Nacli,27.png,Rock,Purifying Salt Sturdy Clear Body,55,55,75,35,35,25
#00933,Naclstack,28.png,Rock,Purifying Salt Sturdy Clear Body,60,60,100,35,65,35
#00934,Garganacl,29.png,Rock,Purifying Salt Sturdy Clear Body,100,100,130,45,90,35
#00935,Charcadet,30.png,Fire,Flash Fire Flame Body,40,50,40,50,40,35
#00936,Armarouge,31.png,"Fire, Psychic",Flash Fire Weak Armor,85,60,100,125,80,75
#00937,Ceruledge,32.png,"Fire, Ghost",Flash Fire Weak Armor,75,125,80,60,100,85
#00938,Tadbulb,33.png,Electric,Own Tempo Static Damp,61,31,41,59,35,45
#00939,Bellibolt,34.png,Electric,Electromorphosis Static Damp,109,64,91,103,83,45
#00940,Wattrel,35.png,"Electric, Flying",Wind Power Volt Absorb Competitive,40,40,35,55,40,70
#00941,Kilowattrel,36.png,"Electric, Flying",Wind Power Volt Absorb Competitive,70,70,60,105,60,125
#00942,Maschiff,37.png,Dark,Intimidate Run Away Stakeout,60,78,60,40,51,51
#00943,Mabosstiff,38.png,Dark,Intimidate Guard Dog Stakeout,80,120,90,60,70,85
#00944,Shroodle,39.png,"Poison, Normal",Unburden Pickpocket Prankster,40,65,35,40,35,75
#00945,Grafaiai,40.png,"Poison, Normal",Unburden Poison Touch Prankster,63,95,65,80,72,110
#00946,Bramblin,41.png,"Grass, Ghost",Wind Rider Infiltrator,40,65,30,45,35,60
#00947,Brambleghast,42.png,"Grass, Ghost",Wind Rider Infiltrator,55,115,70,80,70,90
#00948,Toedscool,43.png,"Ground, Grass",Mycelium Might,40,40,35,50,100,70
#00949,Toedscruel,44.png,"Ground, Grass",Mycelium Might,80,70,65,80,120,100
#00950,Klawf,45.png,Rock,Anger Shell Shell Armor Regenerator,70,100,115,35,55,75
#00951,Capsakid,46.png,Grass,Chlorophyll Insomnia Klutz,50,62,40,62,40,50
#00952,Scovillain,47.png,"Grass, Fire",Chlorophyll Insomnia Moody,65,108,65,108,65,75
#00953,Rellor,48.png,Bug,Compoundeyes Shed Skin,41,50,60,31,58,30
#00954,Rabsca,49.png,"Bug, Psychic",Synchronize Telepathy,75,50,85,115,100,45
#00955,Flittle,50.png,Psychic,Anticipation Frisk Speed Boost,30,35,30,55,30,75
#00956,Espathra,51.png,Psychic,Opportunist Frisk Speed Boost,95,60,60,101,60,105
#00957,Tinkatink,52.png,"Fairy, Steel",Mold Breaker Own Tempo Pickpocket,50,45,45,35,64,58
#00958,Tinkatuff,53.png,"Fairy, Steel",Mold Breaker Own Tempo Pickpocket,65,55,55,45,82,78
#00959,Tinkaton,54.png,"Fairy, Steel",Mold Breaker Own Tempo Pickpocket,85,75,77,70,105,94
#00960,Wiglett,55.png,Water,Gooey Rattled Sand Veil,10,55,25,35,25,95
#00961,Wugtrio,56.png,Water,Gooey Rattled Sand Veil,35,100,50,50,70,120
#00962,Bombirdier,57.png,"Flying, Dark",Big Pecks Keen Eye Rocky Payload,70,103,85,60,85,82
#00963,Finizen,58.png,Water,Water Veil,70,45,40,45,40,75
#00964,Palafin,59.png,Water,Zero to Hero,100,70,72,53,62,100
#00965,Varoom,60.png,"Steel, Poison",Overcoat Slow Start,45,70,63,30,45,47
#00966,Revavroom,61.png,"Steel, Poison",Overcoat Filter,80,119,90,54,67,90
#00967,Cyclizar,62.png,"Dragon, Normal",Shed Skin Regenerator,70,95,65,85,65,121
#00968,Orthworm,63.png,Steel,Earth Eater Sand Veil,70,85,145,60,55,65
#00969,Glimmet,64.png,"Rock, Poison",Toxic Debris Corrosion,48,35,42,105,60,60
#00970,Glimmora,65.png,"Rock, Poison",Toxic Debris Corrosion,83,55,90,130,81,86
#00971,Greavard,66.png,Ghost,Pickup Fluffy,50,61,60,30,55,34
#00972,Houndstone,67.png,Ghost,Sand Rush Fluffy,72,101,100,50,97,68
#00973,Flamigo,68.png,"Flying, Fighting",Scrappy Tangled Feet Costar,82,115,74,75,64,90
#00974,Cetoddle,69.png,Ice,Thick Fat Snow Cloak Sheer Force,108,68,45,30,40,43
#00975,Cetitan,70.png,Ice,Thick Fat Slush Rush Sheer Force,170,113,65,45,55,73
#00976,Veluza,71.png,"Water, Psychic",Mold Breaker Sharpness,90,102,73,78,65,70
#00977,Dondozo,72.png,Water,Unaware Oblivious Water Veil,150,100,115,65,65,35
#00978,Tatsugiri,73.png,"Dragon, Water",Commander Storm Drain,68,50,60,120,95,82
#00979,Annihilape,74.png,"Fighting, Ghost",Vital Spirit Inner Focus Defiant,110,115,80,50,90,90
